date,GOOGLSMA,GOOGLClose,EBAYSMA,EBAYClose
2019-12-23 09:35:00,1354.233,1405.49,36.2409,35.59
2019-12-23 09:40:00,1354.316,1405.7,36.2401,35.62
2019-12-23 09:45:00,1354.3792,1407.03,36.2398,35.72
2019-12-23 09:50:00,1354.3921,1409.17,36.2392,35.815
2019-12-23 09:55:00,1354.4184,1411.1,36.2406,35.85
2019-12-23 10:00:00,1354.4172,1411.075,36.242,35.84
2019-12-23 10:05:00,1354.3896,1411.655,36.2441,35.875
2019-12-23 10:10:00,1354.3439,1410.425,36.2468,35.895
2019-12-23 10:15:00,1354.3051,1409.9301,36.2492,35.855
2019-12-23 10:20:00,1354.2692,1410.6851,36.251,35.825
2019-12-23 10:25:00,1354.2512,1409.62,36.2534,35.82
2019-12-23 10:30:00,1354.2454,1409.96,36.2563,35.82
2019-12-23 10:35:00,1354.2362,1408.95,36.2587,35.8
2019-12-23 10:40:00,1354.2397,1408.58,36.2612,35.84
2019-12-23 10:45:00,1354.2824,1407.67,36.2637,35.86
2019-12-23 10:50:00,1354.2828,1408.2825,36.2661,35.81
2019-12-23 10:55:00,1354.2998,1408.01,36.2682,35.81
2019-12-23 11:00:00,1354.3349,1406.5601,36.2706,35.805
2019-12-23 11:05:00,1354.3566,1407.49,36.2737,35.815
2019-12-23 11:10:00,1354.3725,1408.29,36.2767,35.85
2019-12-23 11:15:00,1354.3817,1409.2,36.2802,35.84
2019-12-23 11:20:00,1354.3877,1408.87,36.2836,35.865
2019-12-23 11:25:00,1354.3931,1408.835,36.2875,35.87
2019-12-23 11:30:00,1354.4204,1409.3715,36.2919,35.86
2019-12-23 11:35:00,1354.4444,1407.58,36.2952,35.87
2019-12-23 11:40:00,1354.4798,1407.495,36.2985,35.895
2019-12-23 11:45:00,1354.5205,1408.645,36.3019,35.885
2019-12-23 11:50:00,1354.5493,1409.275,36.305,35.895
2019-12-23 11:55:00,1354.56,1409.785,36.3082,35.94
2019-12-23 12:00:00,1354.5829999999999,1409.0725,36.3113,35.925
2019-12-23 12:05:00,1354.5826,1409.855,36.3143,35.9002
2019-12-23 12:10:00,1354.5857,1409.12,36.3174,35.9
2019-12-23 12:15:00,1354.5794,1408.6801,36.3194,35.895
2019-12-23 12:20:00,1354.5752,1408.775,36.3207,35.92
2019-12-23 12:25:00,1354.5778,1408.6949,36.3215,35.925
2019-12-23 12:30:00,1354.5851,1408.65,36.3222,35.94
2019-12-23 12:35:00,1354.5981,1409.8101,36.323,35.95
2019-12-23 12:40:00,1354.5844,1409.9301,36.3239,35.9752
2019-12-23 12:45:00,1354.5677,1409.74,36.3247,35.99
2019-12-23 12:50:00,1354.5534,1408.105,36.3255,35.96
2019-12-23 12:55:00,1354.5378,1408.9301,36.3263,35.945
2019-12-23 13:00:00,1354.5295,1409.59,36.3276,35.995
2019-12-23 13:05:00,1354.5047,1409.9,36.3294,35.98
2019-12-23 13:10:00,1354.4791,1409.205,36.3313,35.99
2019-12-23 13:15:00,1354.454,1409.22,36.3333,36.0064
2019-12-23 13:20:00,1354.4227,1408.045,36.3354,36.0053
2019-12-23 13:25:00,1354.3957,1409.83,36.3378,36.01
2019-12-23 13:30:00,1354.3742,1411.015,36.3404,36.03
2019-12-23 13:35:00,1354.3454,1409.14,36.3432,36.06
2019-12-23 13:40:00,1354.3074,1411.16,36.3458,36.04
2019-12-23 13:45:00,1354.2512,1409.99,36.3487,36.0221
2019-12-23 13:50:00,1354.1924,1407.77,36.3512,36.01
2019-12-23 13:55:00,1354.1315,1403.5601,36.3538,35.94
2019-12-23 14:00:00,1354.0722,1401.7923,36.3568,35.8413
2019-12-23 14:05:00,1354.0201,1402.1662,36.3594,35.85
2019-12-23 14:10:00,1353.9611,1400.9122,36.3626,35.8
2019-12-23 14:15:00,1353.9078,1400.35,36.3659,35.78
2019-12-23 14:20:00,1353.8521,1398.45,36.3691,35.75
2019-12-23 14:25:00,1353.8018,1397.665,36.371,35.75
2019-12-23 14:30:00,1353.7613,1395.585,36.3736,35.7
2019-12-23 14:35:00,1353.5751,1397.16,36.3716,35.74
2019-12-23 14:40:00,1353.384,1397.3101,36.374,35.765
2019-12-23 14:45:00,1353.2212,1395.9094,36.3762,35.74
2019-12-23 14:50:00,1353.0882,1399.41,36.3789,35.8
2019-12-23 14:55:00,1352.9569,1400.52,36.3797,35.81
2019-12-23 15:00:00,1352.8549,1400.21,36.3814,35.8107
2019-12-23 15:05:00,1352.7485,1400.4449,36.382,35.84
2019-12-23 15:10:00,1352.668,1400.17,36.3828,35.83
2019-12-23 15:15:00,1352.5974,1400.735,36.3832,35.87
2019-12-23 15:20:00,1352.5012,1400.88,36.3837,35.86
2019-12-23 15:25:00,1352.4019,1399.095,36.3831,35.84
2019-12-23 15:30:00,1352.3065,1401.1204,36.3824,35.85
2019-12-23 15:35:00,1352.2093,1400.08,36.3814,35.83
2019-12-23 15:40:00,1352.0975,1403.2925,36.3798,35.82
2019-12-23 15:45:00,1351.9515,1403.095,36.3781,35.8
2019-12-23 15:50:00,1351.8276,1403.475,36.3753,35.76
