timebin,ID,Tweet,sentscor,sentpol
2020-01-09 23:55:00,1215422982291517440,@PrincessBravato He got Trumpled upon.,0.0,neu
2020-01-09 23:55:00,1215422873973604352,@510ProSports It doesn't make sense on any level as far as I'm reading it.,0.1,pos
2020-01-09 23:55:00,1215422823616806912,Some times I wanna tweet even stupider tweets than I usually do but Panthic Twitter would kill me,-0.25,neg
2020-01-09 23:55:00,1215422762497392640,@ndtv @ndtv &amp; @INCIndia working hard to keep saheen bag protest alive @BDUTT also doing a lot .But all these Donot… https://t.co/1MUbuf5GID,-0.09583333333333334,neg
2020-01-09 23:55:00,1215422756101079042,@510ProSports Uh. The A's currently have a 3b,0.0,neu
2020-01-09 23:55:00,1215422377368010752,@jennbtvn The Alma BB! It’s so cute as crossbody. 😁,0.5,pos
2020-01-09 23:55:00,1215422195222007808,@KarlBode Honestly I'm shocked that it's this high. I remember reading that ~10% of University of Miami students co… https://t.co/ZmrKX4f10B,-0.26999999999999996,neg
2020-01-09 23:55:00,1215421939767840768,"Just to recap:
Celtics +2
Twolves +2.5
Thunder +4 

#dayofthedogs",0.0,neu
2020-01-09 23:55:00,1215421890736480257,FUCK THE SYSTEM FR!!!! It’s people In jail doin life for marijuana charges... https://t.co/ZxfaxVeZBk,-0.25,neg
2020-01-09 23:55:00,1215421846780137474,@pbcgodbyke Lmfaoooooo nigga some mid,0.0,neu
2020-01-09 23:55:00,1215421826559434752,so this is what 30 looks like https://t.co/rH2ZdA5S5D,0.0,neu
2020-01-09 23:55:00,1215421804220579841,Trying to resist eating a beyond burger as a snack... I’ve already had lunch . Do I eat it ?,0.0,neu
2020-01-09 23:55:00,1215421775963541504,@VicTafur Woot woot! Congrats!,0.0,neu
2020-01-09 23:50:00,1215421640714027010,Being adults and all getting along &gt;&gt;&gt;&gt;&gt; https://t.co/0rMoWaRcXr,0.0,neu
2020-01-09 23:50:00,1215421516072079360,Thanks to our #NDSJ National Honor Society members &amp; Class of ‘19 Vipers for participating in our college panel. Ju… https://t.co/VhzD9HZC9y,0.2,pos
2020-01-09 23:50:00,1215421168372465664,Animal companions are so important omg https://t.co/N7hTchV44D,0.4,pos
2020-01-09 23:50:00,1215420753673256960,@adamqjames you should have mine on too or this friendship isnt what i thought it was,0.0,neu
2020-01-09 23:50:00,1215420744538058752,@2020cv_inc Legit literal LOL.,0.8,pos
2020-01-09 23:50:00,1215420628351631360,Lil nigga at the end said get to numbers right 💯😂 https://t.co/6nEQBYaYX4,0.2857142857142857,pos
2020-01-09 23:50:00,1215420601378078720,@HKsirpeeair Just wish we get our credit one day smfh,0.0,neu
2020-01-09 23:45:00,1215420469312024578,Any pay pigs want to reimburse me for my new shoes? Biggest spender could get some of my dirty old socks and please… https://t.co/qIVznM6up4,-0.12121212121212122,neg
2020-01-09 23:45:00,1215420441788944385,@adamqjames what did i do,0.0,neu
2020-01-09 23:45:00,1215420426035200001,#49ers mascot @sfsourdoughsam has staked his claim in the @nbcbayarea newsroom. #GoNiners https://t.co/m0NvIo3U8m,0.0,neu
2020-01-09 23:45:00,1215420309374828544,@newballpark @Nicosan1 Looks like the city of Oakland thinks it is,0.0,neu
2020-01-09 23:45:00,1215420207310594048,"@pbcgodbyke Oh ok yeah that make sense, I was like why it sound so quiet lmao",0.375,pos
2020-01-09 23:45:00,1215420206605930496,@angieee64 go to sleep early puta,0.1,pos
2020-01-09 23:45:00,1215420145096511488,@ColinCowherd if I were the @Browns I would go and hire Greg Roman to help my offense and hurt the @Ravens  O.,0.0,neu
2020-01-09 23:45:00,1215420139589357569,@adamqjames must be nice,0.6,pos
2020-01-09 23:45:00,1215420118433320960,Peep dis 💯 https://t.co/D2e57GDBoO,0.0,neu
2020-01-09 23:45:00,1215420078079897600,"@HKsirpeeair Hov the greatest rapper ever (individually) as a whole, the bay make the best music",0.7333333333333334,pos
2020-01-09 23:45:00,1215420049172774912,Getting a tree planting lesson and learning all about urban forestry @OurCityForest’s nursery in San Jose. They do… https://t.co/ot0OqezJTZ,0.0,neu
2020-01-09 23:45:00,1215419966645649409,@Kassgisselle Lol but you forgave me for that so we straight https://t.co/UsjZ9dPaV5,0.5,pos
2020-01-09 23:45:00,1215419533151719424,LMFAOOOOOOO https://t.co/U15zlLDtlO,0.0,neu
2020-01-09 23:45:00,1215419386971844608,@pooldad thanks for world war 3 buddy,0.2,pos
2020-01-09 23:45:00,1215419358752587777,@miscmarilyn I'm sure I will!,0.5,pos
2020-01-09 23:45:00,1215419338099789824,Yess 🤤 https://t.co/2AI1BoXANd,0.0,neu
2020-01-09 23:40:00,1215419203303292929,Where was this at?? That crowd weak asf lmao https://t.co/NJAn0tYKfh,0.11249999999999999,pos
2020-01-09 23:40:00,1215419003918635008,(Ion even know if you consider her a celebrity) but going bad on Lil Debbie then getting the whole Tank to go bad o… https://t.co/RRVSgCsjMB,-0.3999999999999999,neg
2020-01-09 23:40:00,1215418955260669952,"What a great spot in the city centre. (@ Three Sisters Bar in San Jose, CA) https://t.co/e1OH5uQEYc https://t.co/d3yY18pmZ2",0.8,pos
2020-01-09 23:40:00,1215418637546225664,@gabemartinez6__ Everything about it lmao,0.6,pos
2020-01-09 23:40:00,1215418632630439941,Can’t wait to go home to my family,0.0,neu
2020-01-09 23:40:00,1215418597901651968,He better have paid YOU to watch him live https://t.co/bymM8uZNya,0.3181818181818182,pos
2020-01-09 23:40:00,1215418586530869248,"4 years ago on this date I had a heart attack.I’m thankful everyday for the gift of life, and my wife, kids, team,… https://t.co/31F382PwbD",-0.2,neg
2020-01-09 23:40:00,1215418485464940545,@aceckhouse @VTA They should really sync BART and the 181 up again since BART SV isn't going to be opening anytime soon...,0.2,pos
2020-01-09 23:40:00,1215418385929883650,"When someones who’s never been successful, never owned a business or even made 6+ figures tries to give you advice… https://t.co/htdnvlLrL7",0.325,pos
2020-01-09 23:40:00,1215418140475060224,Sometimes shit don't change,-0.2,neg
2020-01-09 23:40:00,1215418098653650945,He the weakest here lmaoo https://t.co/mGSCnK3kOU,0.0,neu
2020-01-09 23:40:00,1215418052084256768,@nhlsimek I’ll send you all my Jones pics !!,0.0,neu
2020-01-09 23:40:00,1215418051748757504,Smh sent this to the groupchat and now im blocked https://t.co/kT1h1UxJdn,0.0,neu
2020-01-09 23:40:00,1215418011231768577,@ScumbagWZRD What if I told you I know a guy?,0.0,neu
2020-01-09 23:40:00,1215417970676994049,This edit is hard af https://t.co/EziR9xVt36,-0.2916666666666667,neg
2020-01-09 23:35:00,1215417955862773761,@nhlsimek Right 😭,0.2857142857142857,pos
2020-01-09 23:35:00,1215417798769266689,this is fucking awful 🤦🏻‍♀️😭 https://t.co/3srDt5UqCB,-1.0,neg
2020-01-09 23:35:00,1215417705567637504,This is really sad 🥺 https://t.co/qDia5HpSgu,-0.5,neg
2020-01-09 23:35:00,1215417676744409088,"@hankschulman Analytics at work, last year they didnt play on Monday holidays",0.0,neu
2020-01-09 23:35:00,1215417466039369729,I’m a opportunist I go for the gusto,0.0,neu
